week,agegroup,state,value
37,30-49,unvaccinated,3.405571205
37,50-64,unvaccinated,13.04670632
37,65-79,unvaccinated,49.3304122
37,80+,unvaccinated,55.52613584
38,18-29,unvaccinated,0.355276229
38,30-49,unvaccinated,2.535155079
38,50-64,unvaccinated,12.20193736
38,65-79,unvaccinated,37.55205058
38,80+,unvaccinated,43.0690932
39,18-29,unvaccinated,0.191422795
39,30-49,unvaccinated,1.672790782
39,50-64,unvaccinated,8.358731726
39,65-79,unvaccinated,31.86839452
39,80+,unvaccinated,38.28390796
